NAMA,MQ135,MQ2,MQ3,MQ6
aKaw-D,7014,322,8758,325
aKaw-D,5625,288,5786,135
aKaw-D,5587,286,5775,135
aKaw-D,5551,284,5765,133
aKaw-D,5514,282,5751,132
aKaw-D,5477,280,5740,131
aKaw-D,5254,280,4873,286
aKaw-D,5244,279,4880,285
aKaw-D,5219,278,4870,283
aKaw-D,5552,295,5780,131
aKaw-D,5208,277,4876,282
aKaw-D,5861,391,6344,227
aKaw-D,5844,389,6353,226
aKaw-D,5815,388,6345,224
aKaw-D,5784,385,6336,223
aKaw-D,5753,383,6328,221
aKaw-D,5695,373,5783,203
aKaw-D,5661,371,5773,202
aKaw-D,5629,368,5764,200
aKaw-D,5183,275,4865,279
aKaw-D,5588,297,5791,133
aKaw-D,5627,300,5805,135
aKaw-D,5664,302,5815,136
aKaw-D,6958,319,8757,324
aKaw-D,6922,318,8746,324
aKaw-D,6887,316,8736,323
aKaw-D,6489,377,7225,223
aKaw-D,6463,376,7231,222
aKaw-D,6424,373,7221,221
aKaw-D,6383,371,7209,219
aKaw-D,6345,368,7200,217
aKaw-D,6167,357,6260,194
aKaw-D,6127,354,6248,194
aKaw-D,6090,352,6238,192
aKaw-D,6050,349,6225,191
aKaw-D,6012,347,6214,189
aKaw-D,5936,329,5954,166
aKaw-D,5910,327,5960,166
aKaw-D,5872,325,5947,164
aKaw-D,5833,322,5936,163
aKaw-D,5795,320,5924,161
aKaw-D,5702,304,5827,137
aKaw-D,5611,366,5770,200
aKaw-D,6993,321,8765,325
aKaw-D,5580,364,5761,198
aKaw-D,5557,346,5605,171
aKaw-D,4989,169,4382,48
aKaw-D,4960,169,4372,47
aKaw-D,4932,168,4363,46
aKaw-D,4903,167,4352,44
aKaw-D,4874,167,4342,43
aKaw-D,4749,157,4255,40
aKaw-D,4719,156,4243,38
aKaw-D,4692,156,4233,36
aKaw-D,4979,174,4594,41
aKaw-D,4675,155,4238,36
aKaw-D,4420,140,4213,19
aKaw-D,4392,139,4201,18
aKaw-D,4365,138,4191,16
aKaw-D,4336,138,4177,15
aKaw-D,4309,137,4167,13
aKaw-D,4418,136,4256,18
aKaw-D,4390,135,4245,17
aKaw-D,4364,135,4235,15
aKaw-D,4647,155,4227,34
aKaw-D,5007,175,4605,43
aKaw-D,5037,176,4618,44
aKaw-D,5064,176,4628,46
aKaw-D,5525,344,5595,169
aKaw-D,5505,342,5601,168
aKaw-D,5474,340,5591,167
aKaw-D,5464,321,5519,154
aKaw-D,5444,319,5526,154
aKaw-D,5411,317,5517,152
aKaw-D,5377,315,5505,152
aKaw-D,5345,313,5495,149
aKaw-D,5276,293,5483,134
aKaw-D,5255,292,5489,133
aKaw-D,5222,290,5478,132
aKaw-D,5188,288,5466,130
aKaw-D,5156,286,5456,129
aKaw-D,5345,180,5321,40
aKaw-D,5322,180,5310,39
aKaw-D,5299,179,5302,37
aKaw-D,5276,179,5292,36
aKaw-D,5254,178,5283,34
